query_id,bm25_ndcg@10,relevant,can_move,cross-encoder,jev-score
PLAIN-1008,0.0,0,False,0.0,0.0
PLAIN-1018,0.4922818839877925,7,True,0.006,-0.003
PLAIN-102,0.12530682344457728,1,True,0.1986,0.0366
PLAIN-1028,0.0,0,False,0.0,0.0
PLAIN-1039,1.0,2,True,0.0,0.0
PLAIN-1050,0.06362078819895171,1,True,0.0,0.0752
PLAIN-1066,0.0,0,False,0.0,0.0
PLAIN-1088,0.5531464700081437,2,True,0.0,0.0
PLAIN-1098,0.0,0,False,0.0,0.0
PLAIN-1109,0.6046855387118412,9,True,0.0005,0.0864
PLAIN-1119,0.0,0,False,0.0,0.0
PLAIN-112,0.4027144836875453,2,True,0.0564,0.0564
PLAIN-1130,1.0,1,True,0.0,0.0
PLAIN-1141,0.22009176629808017,1,True,0.0,0.0
PLAIN-1151,0.23440650992329987,4,True,0.2193,-0.0104
PLAIN-1161,0.0,0,False,0.0,0.0
PLAIN-1172,0.22009176629808017,1,True,0.0,0.0
PLAIN-1183,0.28952298823485745,2,True,-0.0847,-0.131
PLAIN-1193,0.06362078819895171,2,True,-0.0636,0.0
PLAIN-12,0.0,0,False,0.0,0.0
PLAIN-1203,0.3589542101716347,2,True,0.0,0.0
PLAIN-1214,0.0,0,False,0.0,0.0
PLAIN-1225,0.5363559634917963,9,True,0.0793,0.148
PLAIN-123,0.04247244516790241,1,True,0.0849,0.0124
PLAIN-1236,0.3391602052736161,1,True,0.0,0.0
PLAIN-1249,0.0,0,False,0.0,0.0
PLAIN-1262,0.2082936658103318,3,True,0.2607,0.2607
PLAIN-1275,0.4537425745411855,6,True,0.0851,0.2272
PLAIN-1288,0.7381919257729245,10,True,-0.0367,-0.094
PLAIN-1299,0.30523488393970116,2,True,-0.0189,0.0537
PLAIN-1309,0.0,0,False,0.0,0.0
PLAIN-1320,0.43768250601780867,3,True,0.1117,0.0349
PLAIN-133,0.0,0,False,0.0,0.0
PLAIN-1331,0.0,0,False,0.0,0.0
PLAIN-1342,0.39092738420022166,5,True,0.0839,-0.0789
PLAIN-1353,0.0,0,False,0.0,0.0
PLAIN-1363,0.22009176629808017,1,True,0.0,0.0
PLAIN-1374,0.08514311764162098,3,True,0.3112,0.1321
PLAIN-1387,0.6569815082938864,8,True,0.0211,0.1276
PLAIN-1398,1.0,19,True,0.0,0.0
PLAIN-1409,0.06362078819895171,2,True,-0.0636,0.1045
PLAIN-1419,0.31488013066763093,2,True,0.0,0.0153
PLAIN-1429,0.0,0,False,0.0,0.0
PLAIN-143,0.43929373490672136,3,True,0.1587,0.089
PLAIN-1441,0.4288398090337664,9,True,0.1285,0.2828
PLAIN-1453,0.30523488393970116,10,True,0.0627,0.6096
PLAIN-1463,0.40350157154648025,5,True,-0.015,-0.1253
PLAIN-1473,1.0,1,True,0.0,0.0
PLAIN-1485,0.09478836436955078,1,True,-0.0948,0.0441
PLAIN-1496,0.0,0,False,0.0,0.0
PLAIN-1506,0.2984900352767555,2,True,-0.0784,-0.0812
PLAIN-1516,0.0,0,False,0.0,0.0
PLAIN-1527,0.8603818544462509,15,True,-0.0246,-0.0652
PLAIN-153,0.49704390874168247,8,True,0.3396,0.3009
PLAIN-1537,0.0,3,True,0.3437,0.3341
PLAIN-1547,0.0,0,False,0.0,0.0
PLAIN-1557,0.2781981696179509,4,True,-0.0293,0.027
PLAIN-1568,1.0,2,True,0.0,0.0
PLAIN-1579,0.3391602052736161,1,True,0.0,0.0
PLAIN-1590,0.22009176629808017,2,True,-0.0812,-0.0519
PLAIN-1601,0.5806020001118019,10,True,0.1346,0.2747
PLAIN-1611,0.0,0,False,0.0,0.0
PLAIN-1621,0.0,0,False,0.0,0.0
PLAIN-1635,0.5017100640839688,13,True,0.4983,0.4983
PLAIN-1645,0.30260241349881345,1,True,0.0,0.0
PLAIN-165,0.21454222631433517,7,True,0.3087,0.3167
PLAIN-1656,0.09478836436955078,1,True,-0.0285,0.0
PLAIN-1667,0.7479350596733328,12,True,-0.0008,0.1737
PLAIN-1679,0.0,0,False,0.0,0.0
PLAIN-1690,0.0,0,False,0.0,0.0
PLAIN-1700,0.0,0,False,0.0,0.0
PLAIN-1710,1.0,13,True,0.0,0.0
PLAIN-1721,0.6621137423456802,6,True,-0.0256,-0.0506
PLAIN-1731,0.7653606369886217,2,True,0.0,-0.0614
PLAIN-1741,1.0,19,True,0.0,0.0
PLAIN-175,0.3686402433478159,3,True,0.0493,0.0
PLAIN-1752,0.0,0,False,0.0,0.0
PLAIN-1762,0.26852556974265224,2,True,0.144,0.144
PLAIN-1772,1.0,2,True,0.0,0.0
PLAIN-1784,0.0,0,False,0.0,0.0
PLAIN-1794,1.0,2,True,0.0,0.0
PLAIN-1805,0.9305687780632227,14,True,-0.0793,-0.0039
PLAIN-1817,0.5384313152574521,4,True,-0.1159,-0.0375
PLAIN-1827,0.0,0,False,0.0,0.0
PLAIN-1837,1.0,20,True,0.0,0.0
PLAIN-1847,0.33013764944712026,2,True,-0.1913,-0.0965
PLAIN-1857,0.6274092458891772,5,True,0.0097,0.0097
PLAIN-186,0.13886244387355454,1,True,0.0812,0.0
PLAIN-1867,0.0,0,False,0.0,0.0
PLAIN-1877,0.0,0,False,0.0,0.0
PLAIN-1887,0.0,0,False,0.0,0.0
PLAIN-1897,0.0,0,False,0.0,0.0
PLAIN-1909,1.0,15,True,-0.224,-0.1795
PLAIN-1919,0.793584067764911,10,True,-0.0026,0.0694
PLAIN-1929,0.0,0,False,0.0,0.0
PLAIN-1940,0.3589542101716347,3,True,0.0,0.0694
PLAIN-1950,0.2489083270225946,2,True,0.0,0.0812
PLAIN-196,0.6691255538181726,6,True,-0.1053,0.0316
PLAIN-1962,0.0,0,False,0.0,0.0
PLAIN-1972,0.0,0,False,0.0,0.0
PLAIN-1983,1.0,13,True,0.0,0.0
PLAIN-1995,0.0,0,False,0.0,0.0
