method,score,calls
cross-encoder,-11.442096710205078,1
cross-encoder,-11.40127182006836,1
cross-encoder,-11.393413543701172,1
cross-encoder,-11.375495910644531,1
cross-encoder,-11.370138168334961,1
cross-encoder,-11.364288330078125,1
cross-encoder,-11.360038757324219,1
cross-encoder,-11.357973098754883,1
cross-encoder,-11.357244491577148,1
cross-encoder,-11.355140686035156,1
cross-encoder,-11.354768753051758,1
cross-encoder,-11.352924346923828,1
cross-encoder,-11.349069595336914,1
cross-encoder,-11.345497131347656,1
cross-encoder,-11.3453369140625,1
cross-encoder,-11.336613655090332,1
cross-encoder,-11.336024284362793,1
cross-encoder,-11.335829734802246,1
cross-encoder,-11.335382461547852,1
cross-encoder,-11.333311080932617,1
cross-encoder,-11.329174041748047,1
cross-encoder,-11.328822135925293,1
cross-encoder,-11.32429313659668,1
cross-encoder,-11.324272155761719,1
cross-encoder,-11.323719024658203,1
cross-encoder,-11.322338104248047,1
cross-encoder,-11.319700241088867,1
cross-encoder,-11.319681167602539,1
cross-encoder,-11.316280364990234,1
cross-encoder,-11.312824249267578,1
cross-encoder,-11.312806129455566,1
cross-encoder,-11.312432289123535,1
cross-encoder,-11.309286117553711,1
cross-encoder,-11.306098937988281,1
cross-encoder,-11.306001663208008,1
cross-encoder,-11.304601669311523,1
cross-encoder,-11.303596496582031,1
cross-encoder,-11.302508354187012,1
cross-encoder,-11.30239486694336,1
cross-encoder,-11.30095100402832,1
cross-encoder,-11.299833297729492,1
cross-encoder,-11.297176361083984,1
cross-encoder,-11.295791625976562,1
cross-encoder,-11.29499626159668,1
cross-encoder,-11.294316291809082,1
cross-encoder,-11.294127464294434,1
cross-encoder,-11.293784141540527,1
cross-encoder,-11.293313980102539,1
cross-encoder,-11.29257583618164,1
cross-encoder,-11.292413711547852,1
cross-encoder,-11.291854858398438,1
cross-encoder,-11.29102897644043,1
cross-encoder,-11.289131164550781,1
cross-encoder,-11.287897109985352,1
cross-encoder,-11.287680625915527,1
cross-encoder,-11.287402153015137,1
cross-encoder,-11.286130905151367,1
cross-encoder,-11.286108016967773,1
cross-encoder,-11.284111976623535,1
cross-encoder,-11.282869338989258,1
cross-encoder,-11.281845092773438,1
cross-encoder,-11.281475067138672,2
cross-encoder,-11.278338432312012,1
cross-encoder,-11.276686668395996,1
cross-encoder,-11.274086952209473,1
cross-encoder,-11.270925521850586,1
cross-encoder,-11.270864486694336,1
cross-encoder,-11.2700777053833,1
cross-encoder,-11.268905639648438,1
cross-encoder,-11.264917373657227,1
cross-encoder,-11.264842987060547,1
cross-encoder,-11.264334678649902,1
cross-encoder,-11.263863563537598,1
cross-encoder,-11.263436317443848,1
cross-encoder,-11.26194953918457,1
cross-encoder,-11.261686325073242,1
cross-encoder,-11.261580467224121,1
cross-encoder,-11.260393142700195,1
cross-encoder,-11.260187149047852,1
cross-encoder,-11.259740829467773,1
cross-encoder,-11.258749961853027,1
cross-encoder,-11.258475303649902,1
cross-encoder,-11.257192611694336,1
cross-encoder,-11.257182121276855,1
cross-encoder,-11.256647109985352,1
cross-encoder,-11.256422996520996,1
cross-encoder,-11.255851745605469,1
cross-encoder,-11.253047943115234,1
cross-encoder,-11.252372741699219,1
cross-encoder,-11.251969337463379,1
cross-encoder,-11.25153923034668,1
cross-encoder,-11.251187324523926,1
cross-encoder,-11.25091552734375,1
cross-encoder,-11.25049114227295,1
cross-encoder,-11.250017166137695,1
cross-encoder,-11.249595642089844,1
cross-encoder,-11.247525215148926,1
cross-encoder,-11.247062683105469,1
cross-encoder,-11.246789932250977,1
cross-encoder,-11.246419906616211,1
cross-encoder,-11.246350288391113,1
cross-encoder,-11.246014595031738,1
cross-encoder,-11.245234489440918,1
cross-encoder,-11.243175506591797,1
cross-encoder,-11.243097305297852,1
cross-encoder,-11.242684364318848,1
cross-encoder,-11.242643356323242,1
cross-encoder,-11.240958213806152,1
cross-encoder,-11.240389823913574,1
cross-encoder,-11.239519119262695,1
cross-encoder,-11.23836898803711,1
cross-encoder,-11.237630844116211,1
cross-encoder,-11.237369537353516,1
cross-encoder,-11.237346649169922,1
cross-encoder,-11.237293243408203,1
cross-encoder,-11.236821174621582,1
cross-encoder,-11.236404418945312,1
cross-encoder,-11.236367225646973,1
cross-encoder,-11.235637664794922,1
cross-encoder,-11.235357284545898,1
cross-encoder,-11.234630584716797,1
cross-encoder,-11.233173370361328,1
cross-encoder,-11.232973098754883,1
cross-encoder,-11.232950210571289,1
cross-encoder,-11.231921195983887,1
cross-encoder,-11.231734275817871,1
cross-encoder,-11.231363296508789,1
cross-encoder,-11.230764389038086,1
cross-encoder,-11.229647636413574,1
cross-encoder,-11.229105949401855,1
cross-encoder,-11.22696590423584,1
cross-encoder,-11.226720809936523,1
cross-encoder,-11.226020812988281,1
cross-encoder,-11.225798606872559,1
cross-encoder,-11.225480079650879,1
cross-encoder,-11.225309371948242,1
cross-encoder,-11.225215911865234,1
cross-encoder,-11.225188255310059,1
cross-encoder,-11.22497272491455,1
cross-encoder,-11.224361419677734,1
cross-encoder,-11.224217414855957,1
cross-encoder,-11.224003791809082,1
cross-encoder,-11.223796844482422,1
cross-encoder,-11.222537994384766,1
cross-encoder,-11.221244812011719,1
cross-encoder,-11.22050952911377,1
cross-encoder,-11.219877243041992,1
cross-encoder,-11.219091415405273,1
cross-encoder,-11.2179594039917,1
cross-encoder,-11.217485427856445,1
cross-encoder,-11.217435836791992,1
cross-encoder,-11.217338562011719,1
cross-encoder,-11.215764999389648,1
cross-encoder,-11.215315818786621,1
cross-encoder,-11.215312957763672,1
cross-encoder,-11.21511459350586,1
cross-encoder,-11.214753150939941,1
cross-encoder,-11.214591026306152,1
cross-encoder,-11.214237213134766,1
cross-encoder,-11.21357536315918,1
cross-encoder,-11.213199615478516,1
cross-encoder,-11.212923049926758,1
cross-encoder,-11.212152481079102,1
cross-encoder,-11.212095260620117,1
cross-encoder,-11.211864471435547,1
cross-encoder,-11.211240768432617,1
cross-encoder,-11.211138725280762,1
cross-encoder,-11.210124969482422,1
cross-encoder,-11.210121154785156,1
cross-encoder,-11.209638595581055,1
cross-encoder,-11.20920181274414,1
cross-encoder,-11.208949089050293,1
cross-encoder,-11.208885192871094,1
cross-encoder,-11.208745002746582,1
cross-encoder,-11.208566665649414,1
cross-encoder,-11.207656860351562,1
cross-encoder,-11.20749282836914,1
cross-encoder,-11.20645523071289,1
cross-encoder,-11.206323623657227,1
cross-encoder,-11.206219673156738,1
cross-encoder,-11.2056303024292,1
cross-encoder,-11.205437660217285,1
cross-encoder,-11.20518970489502,1
cross-encoder,-11.204415321350098,1
cross-encoder,-11.204313278198242,1
cross-encoder,-11.20394229888916,1
cross-encoder,-11.203083992004395,1
cross-encoder,-11.202085494995117,1
cross-encoder,-11.201776504516602,1
cross-encoder,-11.201765060424805,1
cross-encoder,-11.201665878295898,1
cross-encoder,-11.201202392578125,1
cross-encoder,-11.200874328613281,1
cross-encoder,-11.200602531433105,1
cross-encoder,-11.199407577514648,2
cross-encoder,-11.19919204711914,1
cross-encoder,-11.1991548538208,1
cross-encoder,-11.198620796203613,1
cross-encoder,-11.198396682739258,1
cross-encoder,-11.198285102844238,1
cross-encoder,-11.198221206665039,1
cross-encoder,-11.198028564453125,1
cross-encoder,-11.197349548339844,2
cross-encoder,-11.197120666503906,1
cross-encoder,-11.196548461914062,1
cross-encoder,-11.196256637573242,1
cross-encoder,-11.195541381835938,1
cross-encoder,-11.195302963256836,1
cross-encoder,-11.195161819458008,1
cross-encoder,-11.195018768310547,1
cross-encoder,-11.194894790649414,1
cross-encoder,-11.194559097290039,1
cross-encoder,-11.193683624267578,1
cross-encoder,-11.19346809387207,1
cross-encoder,-11.192986488342285,1
cross-encoder,-11.192706108093262,1
cross-encoder,-11.19205379486084,1
cross-encoder,-11.19157600402832,1
cross-encoder,-11.191251754760742,1
cross-encoder,-11.19118881225586,1
cross-encoder,-11.190543174743652,1
cross-encoder,-11.190084457397461,1
cross-encoder,-11.189903259277344,1
cross-encoder,-11.189685821533203,1
cross-encoder,-11.18929672241211,1
cross-encoder,-11.189010620117188,1
cross-encoder,-11.188701629638672,1
cross-encoder,-11.188318252563477,1
cross-encoder,-11.188215255737305,1
cross-encoder,-11.187742233276367,1
cross-encoder,-11.187589645385742,1
cross-encoder,-11.187002182006836,1
cross-encoder,-11.18646240234375,1
cross-encoder,-11.185972213745117,1
cross-encoder,-11.185111999511719,1
cross-encoder,-11.183372497558594,1
cross-encoder,-11.183287620544434,1
cross-encoder,-11.183019638061523,1
cross-encoder,-11.181812286376953,1
cross-encoder,-11.181164741516113,1
cross-encoder,-11.18088436126709,1
cross-encoder,-11.180493354797363,1
cross-encoder,-11.180234909057617,1
cross-encoder,-11.179669380187988,1
cross-encoder,-11.179133415222168,1
cross-encoder,-11.179058074951172,1
cross-encoder,-11.177363395690918,1
cross-encoder,-11.17719841003418,1
cross-encoder,-11.176636695861816,2
cross-encoder,-11.17529582977295,1
cross-encoder,-11.174154281616211,1
cross-encoder,-11.173847198486328,1
cross-encoder,-11.173585891723633,1
cross-encoder,-11.173421859741211,1
cross-encoder,-11.17272663116455,1
cross-encoder,-11.172281265258789,1
cross-encoder,-11.171714782714844,1
cross-encoder,-11.171628952026367,1
cross-encoder,-11.171463012695312,1
cross-encoder,-11.171045303344727,1
cross-encoder,-11.17017650604248,1
cross-encoder,-11.169692039489746,1
cross-encoder,-11.169454574584961,1
cross-encoder,-11.168118476867676,1
cross-encoder,-11.167534828186035,1
cross-encoder,-11.166906356811523,1
cross-encoder,-11.166748046875,1
cross-encoder,-11.166698455810547,1
cross-encoder,-11.166635513305664,1
cross-encoder,-11.166526794433594,1
cross-encoder,-11.166440963745117,1
cross-encoder,-11.166338920593262,1
cross-encoder,-11.16612720489502,1
cross-encoder,-11.166120529174805,1
cross-encoder,-11.165836334228516,1
cross-encoder,-11.16583251953125,1
cross-encoder,-11.165000915527344,1
cross-encoder,-11.16493034362793,1
cross-encoder,-11.164048194885254,1
cross-encoder,-11.163715362548828,1
cross-encoder,-11.16352653503418,1
cross-encoder,-11.163469314575195,1
cross-encoder,-11.162294387817383,1
cross-encoder,-11.16102409362793,1
cross-encoder,-11.160947799682617,1
cross-encoder,-11.160285949707031,1
cross-encoder,-11.159403800964355,1
cross-encoder,-11.159357070922852,1
cross-encoder,-11.159250259399414,1
cross-encoder,-11.159185409545898,1
cross-encoder,-11.159183502197266,1
cross-encoder,-11.158134460449219,1
cross-encoder,-11.156760215759277,1
cross-encoder,-11.156325340270996,1
cross-encoder,-11.155532836914062,1
cross-encoder,-11.155378341674805,1
cross-encoder,-11.155289649963379,1
cross-encoder,-11.155258178710938,1
cross-encoder,-11.155250549316406,1
cross-encoder,-11.15472412109375,1
cross-encoder,-11.153831481933594,1
cross-encoder,-11.153122901916504,1
cross-encoder,-11.152841567993164,1
cross-encoder,-11.151447296142578,1
cross-encoder,-11.151366233825684,1
cross-encoder,-11.151302337646484,1
cross-encoder,-11.151277542114258,1
cross-encoder,-11.150907516479492,1
cross-encoder,-11.150678634643555,1
cross-encoder,-11.150376319885254,1
cross-encoder,-11.149673461914062,1
cross-encoder,-11.14773941040039,1
cross-encoder,-11.146829605102539,1
cross-encoder,-11.146660804748535,1
cross-encoder,-11.146642684936523,1
cross-encoder,-11.1463623046875,1
cross-encoder,-11.146247863769531,1
cross-encoder,-11.145191192626953,1
cross-encoder,-11.144693374633789,1
cross-encoder,-11.144224166870117,1
cross-encoder,-11.14362907409668,1
cross-encoder,-11.14332389831543,1
cross-encoder,-11.14306926727295,1
cross-encoder,-11.14283561706543,1
cross-encoder,-11.142578125,1
cross-encoder,-11.142334938049316,1
cross-encoder,-11.142257690429688,1
cross-encoder,-11.142213821411133,1
cross-encoder,-11.140815734863281,1
cross-encoder,-11.140765190124512,1
cross-encoder,-11.140727996826172,1
cross-encoder,-11.139713287353516,1
cross-encoder,-11.139387130737305,1
cross-encoder,-11.138786315917969,1
cross-encoder,-11.138427734375,1
cross-encoder,-11.138104438781738,1
cross-encoder,-11.13762092590332,1
cross-encoder,-11.13714599609375,1
cross-encoder,-11.137128829956055,1
cross-encoder,-11.136661529541016,1
cross-encoder,-11.13664436340332,1
cross-encoder,-11.136054992675781,1
cross-encoder,-11.135747909545898,1
cross-encoder,-11.135435104370117,1
cross-encoder,-11.134410858154297,1
cross-encoder,-11.133808135986328,1
cross-encoder,-11.133390426635742,1
cross-encoder,-11.133352279663086,1
cross-encoder,-11.133077621459961,1
cross-encoder,-11.132572174072266,1
cross-encoder,-11.132424354553223,1
cross-encoder,-11.131868362426758,1
cross-encoder,-11.130687713623047,1
cross-encoder,-11.130666732788086,1
cross-encoder,-11.12955379486084,1
cross-encoder,-11.128593444824219,1
cross-encoder,-11.127899169921875,1
cross-encoder,-11.12769889831543,1
cross-encoder,-11.127281188964844,1
cross-encoder,-11.126945495605469,1
cross-encoder,-11.126930236816406,1
cross-encoder,-11.12608814239502,1
cross-encoder,-11.126052856445312,1
cross-encoder,-11.125799179077148,1
cross-encoder,-11.125025749206543,1
cross-encoder,-11.124998092651367,1
cross-encoder,-11.12458610534668,1
cross-encoder,-11.123361587524414,1
cross-encoder,-11.122620582580566,1
cross-encoder,-11.122015953063965,1
cross-encoder,-11.12185287475586,1
cross-encoder,-11.121672630310059,1
cross-encoder,-11.120950698852539,1
